id|authority_id|name|url|machine_name|sort_name
104|104|Universidad Camilo Jose Cela||universidad camilo jose cela|universidad camilo jose cela
105|105|International Journal of Instructional Technology and Distance Learning||international journal of instructional technology and distance learning|international journal of instructional technology and distance learning
106|106|University of North Carolina Press|http://www.uncpress.unc.edu|university of north carolina press|university of north carolina press
107|107|Brill||brill|brill
108|108|Pergamon Press||pergamon press|pergamon press
109|11|Springer||springer|springer
110|110|Society for Post-Critical and Personalist Studies||society for post critical and personalist studies|society for post critical and personalist studies
111|205|Washington and Lee University, Laboratory of Anthropology||washington and lee university laboratory of anthropology|washington and lee university laboratory of anthropology
112|112|Archetype Books||archetype books|archetype books
113|113|Oxford Bibliographies Online||oxford bibliographies online|oxford bibliographies online
114|114|Austin Peay State University, Center for the Creative Arts||austin peay state university center for the creative arts|austin peay state university center for the creative arts
115|115|Zyzzyva, Inc.||zyzzyva inc|zyzzyva inc
116|116|Brepols Publishers||brepols publishers|brepols publishers
117|117|Heyday||heyday|heyday
118|118|University of California Press|http://www.ucpress.edu/|university of california press|university of california press
119|119|Barrow Street, Inc.||barrow street inc|barrow street inc
120|120|Psychology Press||psychology press|psychology press
121|752|American Psychological Association||american psychological association|american psychological association
122|418|Elsevier BV||elsevier bv|elsevier bv
123|953|Beilstein - Institut zur Foerderung der Chemischen Wissenschaften||beilstein institut zur foerderung der chemischen wissenschaften|beilstein institut zur foerderung der chemischen wissenschaften
124|124|Beloit College||beloit college|beloit college
125|125|Mariner Books||mariner books|mariner books
126|126|0006-3207||0006 3207|0006 3207
127|127|Bilingual Review Press, Hispanic Research Center, Arizona State University|http://www.asu.edu/brp/bilin/bilin.html|bilingual review press hispanic research center arizona state university|bilingual review press hispanic research center arizona state university
128|128|Pondicherry Institute of Linguistics & Culture||pondicherry institute of linguistics culture|pondicherry institute of linguistics culture
129|129|Cell Press||cell press|cell press
130|130|International Society of Automation||international society of automation|international society of automation
131|131|CRC Press||crc press|crc press
132|132|Virginia Commonwealth University, Department of English||virginia commonwealth university department of english|virginia commonwealth university department of english
133|133|Black Warrior Review||black warrior review|black warrior review
134|134|Doubleday||doubleday|doubleday
135|135|U A B College of Arts and Sciences||u a b college of arts and sciences|u a b college of arts and sciences
136|970|BioMed Central Ltd.||biomed central ltd|biomed central ltd
137|3025|Louisiana State University Press||louisiana state university press|louisiana state university press
138|138|March Press, LLC||march press llc|march press llc
139|139|Anthem Press||anthem press|anthem press
140|140|St. Louis University||st louis university|st louis university
141|141|Copperhill Media Corporation||copperhill media corporation|copperhill media corporation
142|142|EDSIG, the Education Special Interest Group of AITP||edsig the education special interest group of aitp|edsig the education special interest group of aitp
143|143|Xlibris Corp||xlibris corp|xlibris corp
144|210|John Wiley & Sons Ltd.||john wiley sons ltd|john wiley sons ltd
145|2002|Palgrave Macmillan Ltd.||palgrave macmillan ltd|palgrave macmillan ltd
146|2990|Auburn University * Department of Foreign Languages and Literature||auburn university department of foreign languages and literature|auburn university department of foreign languages and literature
147|2878|University of Tennessee Press||university of tennessee press|university of tennessee press
148|148|AuthorHouse||authorhouse|authorhouse
149|708|American Bar Association * Section of Business Law||american bar association section of business law|american bar association section of business law
150|150|American Mathematical Society|http://www.ams.org/journals/|american mathematical society|american mathematical society
151|1939|N R C Research Press||n r c research press|n r c research press
152|152|Stryker Post||stryker post|stryker post
153|153|Outpost19||outpost19|outpost19
154|210|Wiley - V C H Verlag GmbH & Co. KGaA||wiley v c h verlag gmbh co kgaa|wiley v c h verlag gmbh co kgaa
155|155|University Press of Mississippi||university press of mississippi|university press of mississippi
156|156|R S C Publications||r s c publications|r s c publications
157|157|City University of New York, Lehman College, Department of Languages and Literatures||city university of new york lehman college department of languages and literatures|city university of new york lehman college department of languages and literatures
158|158|Chiron Review Press||chiron review press|chiron review press
159|159|Chinese Physiological Society,Chung-kuo Sheng Li Hsueh Hui||chinese physiological society chung kuo sheng li hsueh hui|chinese physiological society chung kuo sheng li hsueh hui
160|3138|Third Millenium Pub Ltd||third millenium pub ltd|third millenium pub ltd
161|3221|Peter Lang Publishing||peter lang publishing|peter lang publishing
162|2976|Instituto Internacional de Literatura Iberoamericana||instituto internacional de literatura iberoamericana|instituto internacional de literatura iberoamericana
163|456|Lippincott Williams & Wilkins||lippincott williams wilkins|lippincott williams wilkins
164|164|The University of Alabama Press|http://www.uapress.ua.edu/catalog/CategoryInfo.aspx?cid=152|the university of alabama press|university of alabama press
165|165|Oklahoma State University, Department of English||oklahoma state university department of english|oklahoma state university department of english
166|166|Universidad Catolica Boliviana||universidad catolica boliviana|universidad catolica boliviana
167|3022|Appalachian State University * Department of English||appalachian state university department of english|appalachian state university department of english
168|168|Classical Association of the Middle West and South||classical association of the middle west and south|classical association of the middle west and south
169|169|Commonweal Foundation||commonweal foundation|commonweal foundation
170|170|Peking University Press||peking university press|peking university press
171|171|Fordham University Press||fordham university press|fordham university press
172|3137|Hampton Pr||hampton pr|hampton pr
173|173|Pan Stanford Publishing||pan stanford publishing|pan stanford publishing
174|11|Springer Basel AG||springer basel ag|springer basel ag
175|175|International Thomson Publishing||international thomson publishing|international thomson publishing
176|176|Utilitas Mathematica Publishing Inc.||utilitas mathematica publishing inc|utilitas mathematica publishing inc
177|177|Transaction Publishers||transaction publishers|transaction publishers
178|3080|I E E E Computer Society||i e e e computer society|i e e e computer society
179|179|Parlor Press||parlor press|parlor press
180|268|Fairleigh Dickinson Univ Pr||fairleigh dickinson univ pr|fairleigh dickinson univ pr
181|181|Marquette Books||marquette books|marquette books
182|182|Gale||gale|gale
183|183|IGI Global||igi global|igi global
184|184|Cuaderno Internacional de Estudios Humanisticos y Literatura||cuaderno internacional de estudios humanisticos y literatura|cuaderno internacional de estudios humanisticos y literatura
185|185|Coastal Carolina Press||coastal carolina press|coastal carolina press
186|186|Princeton University, Program in the Study of Women and Gender||princeton university program in the study of women and gender|princeton university program in the study of women and gender
187|187|College of Charleston||college of charleston|college of charleston
188|188|Southern Illinois University at Carbondale, Department of English||southern illinois university at carbondale department of english|southern illinois university at carbondale department of english
189|3221|Peter Lang Publishing Inc.||peter lang publishing inc|peter lang publishing inc
190|327|Akademie Ved Ceske Republiky * Matematicky Ustav,Academy of Sciences of the Czech Republic, Institute of Mathematics||akademie ved ceske republiky matematicky ustav academy of sciences of the czech republic institute of mathematics|akademie ved ceske republiky matematicky ustav academy of sciences of the czech republic institute of mathematics
191|191|Cutter Consortium, LLC||cutter consortium llc|cutter consortium llc
192|192|University of Iowa, Department of Sociology||university of iowa department of sociology|university of iowa department of sociology
193|193|Arcadia Publishing||arcadia publishing|arcadia publishing
194|2990|Auburn University||auburn university|auburn university
195|210|John Wiley & Sons, Inc||john wiley sons inc|john wiley sons inc
196|196|Crawford School of Public Policy, The Australian National University||crawford school of public policy the australian national university|crawford school of public policy the australian national university
197|197|McFarland||mcfarland|mcfarland
198|2784|Ohio State University Press||ohio state university press|ohio state university press
199|199|Capstone Records||capstone records|capstone records
200|200|Kenneth A. Lambert||kenneth a lambert|kenneth a lambert
201|622|Academy of Management||academy of management|academy of management
202|202|Institute for the Study of Labor (IZA)||institute for the study of labor iza|institute for the study of labor iza
203|2002|Palgrave Macmillan||palgrave macmillan|palgrave macmillan
204|204|Institute of Physics Publishing Ltd.||institute of physics publishing ltd|institute of physics publishing ltd
205|205|Washington and Lee University||washington and lee university|washington and lee university
206|206|Tia Chucha Press||tia chucha press|tia chucha press
207|1496|Indiana University Press||indiana university press|indiana university press
208|208|The University of Arizona Press||the university of arizona press|university of arizona press
209|1863|National Academy of Sciences||national academy of sciences|national academy of sciences
